First Name,Last Name,Phone Number,Email,Year of Birth,Gender,Are you a person with Disability?,County of Residence,Sub County of Residence (Sub Counties in Mombasa),Ward of Residence,Highest level of education completed,Are you employed,Are you running a business,Whats your area of interest?,"If you selected other, please elaborate (If not, respond with N/A)",Mode of Mentorship ( Remote / Physical / Any),Prefered Mentor Gender (Male / Female / Any),What are your strengths,What are your weaknesses,What are your career goals,What skills would you like to be mentored,What are your financial goals,Upload your resume if available,Who referred you? (Your Case Manager/Mentor)
,,,,1992,Female,No,Mombasa,Mvita,Shimanzi,Univeristy,Yes,No,Entrepreneurship,  other,,,,,,,,,
,,,,1993,Male,No,Mombasa,Kisauni,Mwembe legeza,Univeristy,Yes,Yes,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Likoni,Shikaadabu ,Secondary (High School),No,Yes,Creatives and Arts,N/A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Mvita,,Univeristy,No,No,Creatives and Arts,N,,,,,,,,,
,,,,1997,Male,No,Mombasa,Changamwe,Potreitz,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Likoni,Shikaadabu ,Primary,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Mwembelegeza,College,No,No,Hospitality and Tourism,N/Aa,,,,,,,,,
,,,,1988,Male,No,Mombasa,Jomvu,Mikindani,Univeristy,No,No,Creatives and Arts,NA,,,,,,,,,
,,,,2003,Female,No,Mombasa,Likoni,Shikaadabu ,Primary,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Bamburi,Secondary (High School),No,No,Hospitality and Tourism,NA,,,,,,,,,
,,,,2000,Male,No,Mombasa,Changamwe,kipevu,College,No,No,Health,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Kisauni,Kisauni,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Kisauni,Shanzu,College,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2006,Female,No,Mombasa,Changamwe,Portreitz,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Mwakirunge ward,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1998,Male,No,Mombasa,Likoni,Timbwani ward,College,No,No,Health,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Changamwe,Airport ward,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Likoni,Timbwani ,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Likoni,Shikaadabu ,Primary,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Likoni,Bofu,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,2006,Male,No,Mombasa,Likoni,Shikaadabu,Primary,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1995,Female,No,Mombasa,Changamwe,Portreitz ,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2002,Female,Yes,Mombasa,Changamwe,Kipev,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Changamwe,Airport ,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Likoni,Shikaadabu,Primary,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Mvita,Tudor ,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1988,Male,No,Mombasa,Kisauni,Shanzu ,Primary,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1992,Female,No,Mombasa,Likoni,Timbwani ,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1994,Female,No,Mombasa,Changamwe,Chaani,College,No,Yes,Creatives and Arts,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Kisauni,Bamburi,College,No,No,Health,N/A,,,,,,,,,
,,,,1992,Female,No,Mombasa,Likoni,Shikaadabu ,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Nyali,Mkomani,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Likoni,Shikaadabu ward,TVET,No,No,Mental health. ,Beauty therapy ,,,,,,,,,
,,,,1997,Female,No,Mombasa,Changamwe,Portriez,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2000,Male,No,Kwale,Others (Outside Mombasa),Waa,Univeristy,No,No,Health,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,,Secondary (High School),Yes,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Kisauni,Magogoni,TVET,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Shanzu,Univeristy,Yes,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1996,Male,No,Mombasa,Changamwe,Chaani,Secondary (High School),No,No,Creatives and Arts,Dancing,,,,,,,,,
,,,,2003,Male,No,Mombasa,Mvita,Tudor ,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Likoni,Shikaadabu ward,College,No,No,Mental health ,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Bamburi,College,No,Yes,Hospitality and Tourism,N\A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Shanzu ward,Secondary (High School),Yes,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2002,Female,Yes,Mombasa,Likoni,Shikaadabu ward,College,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2004,Female,No,Mombasa,Kisauni,Bamburi ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1993,Male,No,Mombasa,Jomvu,Mikindani ,Secondary (High School),No,Yes,Health,Na ,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Shanzu,College,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Nyali,Mkomani,Univeristy,No,No,Entrepreneurship,Business management ,,,,,,,,,
,,,,1992,Male,No,Mombasa,Kisauni,Magongoni,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Shanzu,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1996,Male,No,Mombasa,Kisauni,Bamburi ,Univeristy,Yes,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Changamwe,Kipevu,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Likoni,Shikaadabu ,Secondary (High School),Yes,Yes,Entrepreneurship,N/B,,,,,,,,,
,,,,1997,Female,No,Mombasa,Likoni,Shikaadabu ,Secondary (High School),Yes,Yes,Entrepreneurship,N/B,,,,,,,,,
,,,,1989,Female,No,Mombasa,Changamwe,Chaani ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Likoni,Bofu,College,No,Yes,Health,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Shanzu,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Changamwe,Airport ward,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Changamwe,Airport ,TVET,No,No,Entrepreneurship,N,,,,,,,,,
,,,,1999,Male,No,Mombasa,Kisauni,Mshomoroni  bengala,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Shanzu,Secondary (High School),No,No,Cosmetology,Hairdressing,,,,,,,,,
,,,,2001,Male,No,Mombasa,Kisauni,Junda,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2004,Female,No,Kilifi,Others (Outside Mombasa),Mitangoni,College,No,No,Health,NA,,,,,,,,,
,,,,1999,Female,No,Mombasa,Nyali,Ziwa la ngombe,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Kisauni,Bamburi Palestina,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1986,Male,No,Mombasa,Mvita,Ganjoni ,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1996,Female,No,Mombasa,Jomvu,Miritini ,College,Yes,No,Social work and community development ,Social work and community development ,,,,,,,,,
,,,,2001,Female,No,Mombasa,Kisauni,Palestina bamburi,College,No,No,Logistics,Maritime transport and logistics,,,,,,,,,
,,,,2003,Female,Yes,Mombasa,Kisauni,,Secondary (High School),Yes,No,Beauty therapy ,N,,,,,,,,,
,,,,1996,Male,No,Mombasa,Likoni,Shikaadabu,TVET,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Magogoni,College,No,No,Health,Beauty therapy ,,,,,,,,,
,,,,1994,Female,No,Mombasa,Changamwe,Changamwe ,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Mvita,Old town,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2005,Female,No,Mombasa,Nyali,Kadzandani,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1998,Male,No,Mombasa,Kisauni,Junda,College,Yes,No,Accounting & Financee,"I believe it'll allow me to combine my passion for helping people with my analytical skills. I believe that by providing accurate financial information and insights, I can contribute to a team making informed decisions, ultimately aiding them in achieving our goals.",,,,,,,,,
,,,,2001,Female,No,Mombasa,Changamwe,Changamwe ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,1999,Male,No,Mombasa,Kisauni,Mtopanga ,College,No,No,Hospitality and Tourism,N/a,,,,,,,,,
,,,,2001,Male,No,Mombasa,Changamwe,Coast warriors dancer crew ,College,No,No,Creatives and Arts,N/A,,,,,,,,,
